Timestamp,CI,V_TRAIN (Km/h),NID_BG,M_MODE,DL Rxqual,UL Rxqual,D_LRBG,HO_state,CES,EStop
2025-10-01 16:38:23.617,057,95.0,1093,STM National,,,2137.0,0,0,0
2025-10-01 16:38:23.873,057,,1093,,,,2137.0,0,0,0
2025-10-01 16:38:24.001,057,,1093,,,,2137.0,0,0,0
2025-10-01 16:38:24.001,057,95.0,1093,STM National,,,2145.0,0,0,0
2025-10-01 16:38:24.087,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:24.149,057,,1093,,,,2145.0,0,0,0
2025-10-01 16:38:24.149,057,,1093,,,,2145.0,0,0,0
2025-10-01 16:38:24.149,057,,1093,,,,2145.0,0,0,0
2025-10-01 16:38:24.533,057,,1093,,,,2145.0,0,0,0
2025-10-01 16:38:24.567,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:24.897,057,,1093,,,,2145.0,0,0,0
2025-10-01 16:38:25.047,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:25.409,057,,1093,,,,2145.0,0,0,0
2025-10-01 16:38:25.527,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:25.813,057,,1093,,,,2145.0,0,0,0
2025-10-01 16:38:26.007,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:26.325,057,,1093,,,,2145.0,0,0,0
2025-10-01 16:38:26.433,057,,1093,,,,2145.0,0,0,0
2025-10-01 16:38:26.487,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:26.837,057,,1093,,,,2145.0,0,0,0
2025-10-01 16:38:26.965,057,,1093,,,,2145.0,0,0,0
2025-10-01 16:38:26.967,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:27.073,057,,1093,,,,2145.0,0,0,0
2025-10-01 16:38:27.447,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:27.477,057,,1093,,,,2145.0,0,0,0
2025-10-01 16:38:27.585,057,,1093,,,,2145.0,0,0,0
2025-10-01 16:38:27.585,057,,1093,,,,2145.0,0,0,0
2025-10-01 16:38:27.713,057,95.0,1093,STM National,,,2244.0,0,0,0
2025-10-01 16:38:27.927,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:28.245,057,,1093,,,,2244.0,0,0,0
2025-10-01 16:38:28.407,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:28.887,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:28.993,057,,1093,,,,2244.0,0,0,0
2025-10-01 16:38:29.269,057,,1093,,,,2244.0,0,0,0
2025-10-01 16:38:29.367,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:29.847,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:29.889,057,,1093,,,,2244.0,0,0,0
2025-10-01 16:38:30.327,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:30.421,057,,1093,,,,2244.0,0,0,0
2025-10-01 16:38:30.807,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:31.287,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:31.767,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:31.829,057,,1093,,,,2244.0,0,0,0
2025-10-01 16:38:32.247,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:32.449,057,,1093,,,,2244.0,0,0,0
2025-10-01 16:38:32.727,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:32.981,057,,1093,,,,2244.0,0,0,0
2025-10-01 16:38:33.207,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:33.687,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:34.167,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:34.261,057,,1093,,,,2244.0,0,0,0
2025-10-01 16:38:34.647,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:35.009,057,,1093,,,,2244.0,0,0,0
2025-10-01 16:38:35.127,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:35.541,057,,1093,,,,2244.0,0,0,0
2025-10-01 16:38:35.607,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:36.087,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:36.567,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:36.821,057,,1093,,,,2244.0,0,0,0
2025-10-01 16:38:37.047,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:37.527,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:37.569,057,,1093,,,,2244.0,0,0,0
2025-10-01 16:38:37.973,057,,1093,,,,2244.0,0,0,0
2025-10-01 16:38:38.007,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:38.487,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:38.967,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:39.381,057,,1093,,,,2244.0,0,0,0
2025-10-01 16:38:39.447,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:39.927,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:40.001,057,,1093,,,,2244.0,0,0,0
2025-10-01 16:38:40.407,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:40.661,057,,1093,,,,2244.0,0,0,0
2025-10-01 16:38:40.887,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:41.367,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:41.813,057,,1093,,,,2244.0,0,0,0
2025-10-01 16:38:41.847,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:42.327,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:42.433,057,,1093,,,,2244.0,0,0,0
2025-10-01 16:38:42.807,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:42.965,057,,1093,,,,2244.0,0,0,0
2025-10-01 16:38:43.287,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:43.767,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:44.245,057,,1093,,,,2244.0,0,0,0
2025-10-01 16:38:44.247,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:44.727,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:44.993,057,,1093,,,,2244.0,0,0,0
2025-10-01 16:38:45.207,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:45.397,057,,1093,,,,2244.0,0,0,0
2025-10-01 16:38:45.687,057,,1093,,0.0,0.0,,0,0,0
2025-10-01 16:38:46.167,057,,1093,,0.0,0.0,,0,0,0
